                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    158,                0.66043,                0.31728,                 0.2316,                0.97782,                0.96954,                0.98619,                0.77433,                0.84787,                0.33895,                 0.2399,               0.002278,               0.002278,               0.002278
                    159,                0.65486,                0.31586,                0.23213,                0.98405,                0.96907,                0.98785,                 0.7752,                0.84976,                0.34079,                0.23999,              0.0022285,              0.0022285,              0.0022285
                    160,                0.66653,                0.31895,                0.23342,                0.97992,                0.97111,                0.98753,                  0.772,                0.84973,                0.34305,                 0.2399,               0.002179,               0.002179,               0.002179
                    161,                0.65785,                0.31488,                0.23173,                0.97894,                0.97356,                 0.9882,                0.77172,                0.84636,                0.34212,                0.23999,              0.0021295,              0.0021295,              0.0021295
                    162,                0.65605,                0.31655,                0.23109,                0.97727,                0.97277,                0.98761,                0.77173,                0.84757,                0.34304,                0.24045,                0.00208,                0.00208,                0.00208
                    163,                0.64762,                0.31254,                0.23214,                0.97788,                0.97202,                0.98819,                0.77261,                0.84907,                0.34072,                0.24075,              0.0020305,              0.0020305,              0.0020305
                    164,                0.66613,                0.31868,                0.23204,                0.97604,                0.97592,                 0.9877,                0.77375,                0.84424,                0.33989,                0.24002,               0.001981,               0.001981,               0.001981
                    165,                0.64815,                0.31251,                0.23003,                0.97702,                0.97935,                0.98871,                0.77577,                0.84513,                0.33807,                0.24014,              0.0019315,              0.0019315,              0.0019315
                    166,                0.65654,                0.31863,                0.23162,                0.98011,                0.98044,                0.98949,                0.77548,                0.84874,                0.33444,                0.24059,               0.001882,               0.001882,               0.001882
                    167,                0.64376,                0.30898,                0.23114,                0.98013,                0.98121,                0.98996,                0.77353,                0.85054,                0.33634,                0.24128,              0.0018325,              0.0018325,              0.0018325
                    168,                0.64682,                0.31015,                0.23301,                0.98004,                0.97689,                0.98913,                0.77244,                0.84931,                0.33852,                0.24144,               0.001783,               0.001783,               0.001783
                    169,                0.66096,                0.31551,                0.23382,                0.98408,                0.97119,                0.98881,                0.77121,                0.85225,                0.33463,                0.24125,              0.0017335,              0.0017335,              0.0017335
                    170,                0.63775,                0.30685,                   0.23,                0.97597,                0.97809,                0.98792,                0.77284,                0.85123,                0.33594,                0.24109,               0.001684,               0.001684,               0.001684
                    171,                0.63969,                0.30666,                0.22915,                0.97782,                0.97801,                0.98776,                0.77433,                 0.8481,                0.33403,                0.24027,              0.0016345,              0.0016345,              0.0016345
                    172,                0.65205,                0.30998,                0.23165,                0.97726,                0.97696,                0.98707,                0.77366,                0.84729,                0.33562,                0.24016,               0.001585,               0.001585,               0.001585
                    173,                0.64771,                 0.3086,                 0.2301,                0.98233,                0.97382,                0.98853,                0.77411,                0.84649,                0.33358,                0.24022,              0.0015355,              0.0015355,              0.0015355
                    174,                0.64703,                0.30724,                0.23127,                0.98313,                0.97654,                0.98858,                0.77423,                0.84677,                0.33514,                0.24059,               0.001486,               0.001486,               0.001486
                    175,                 0.6396,                0.30656,                0.23226,                0.98565,                0.97487,                0.98877,                0.77249,                0.84826,                0.33674,                0.24069,              0.0014365,              0.0014365,              0.0014365
                    176,                0.63341,                0.30368,                0.22935,                0.98474,                0.97592,                0.98876,                0.77518,                0.84561,                0.33579,                0.24065,               0.001387,               0.001387,               0.001387
                    177,                0.64364,                0.30644,                0.23084,                0.97929,                0.97696,                0.98775,                0.77389,                0.84725,                0.33482,                0.24082,              0.0013375,              0.0013375,              0.0013375
                    178,                0.63185,                0.30155,                0.22893,                  0.981,                0.97319,                0.98704,                0.77268,                0.84847,                0.33526,                0.24109,               0.001288,               0.001288,               0.001288
                    179,                0.63272,                0.30107,                0.22921,                0.97999,                0.97461,                0.98639,                0.77226,                0.85006,                0.33618,                0.24087,              0.0012385,              0.0012385,              0.0012385
                    180,                0.63213,                0.30111,                0.22896,                0.98108,                0.97741,                0.98777,                0.77124,                0.84933,                0.33632,                0.24074,               0.001189,               0.001189,               0.001189
                    181,                0.62799,                0.30176,                0.22993,                 0.9833,                0.97382,                0.98688,                0.77238,                0.84888,                0.33549,                 0.2409,              0.0011395,              0.0011395,              0.0011395
                    182,                0.61829,                 0.2963,                0.22951,                0.98414,                0.97487,                 0.9876,                0.77269,                0.84721,                 0.3346,                0.24059,                0.00109,                0.00109,                0.00109
                    183,                0.63512,                0.29898,                0.22838,                0.98407,                0.97382,                0.98639,                0.77532,                0.84417,                0.33348,                0.24005,              0.0010405,              0.0010405,              0.0010405
                    184,                 0.6221,                0.29638,                0.22918,                0.98229,                0.97173,                 0.9869,                0.77512,                 0.8432,                0.33601,                 0.2396,               0.000991,               0.000991,               0.000991
                    185,                0.61609,                0.29267,                0.22714,                0.97791,                0.97324,                  0.986,                0.77506,                0.84407,                0.33545,                0.23935,              0.0009415,              0.0009415,              0.0009415
                    186,                0.61599,                0.29276,                0.22881,                0.97885,                0.97487,                0.98738,                0.77514,                0.84756,                0.33435,                0.24003,               0.000892,               0.000892,               0.000892
                    187,                0.61978,                0.29284,                0.22778,                0.97782,                0.97487,                0.98738,                0.77372,                0.84571,                0.33397,                0.23995,              0.0008425,              0.0008425,              0.0008425
                    188,                0.62339,                0.29282,                0.22854,                0.97796,                0.97581,                0.98735,                0.77477,                0.84502,                0.33367,                0.23962,               0.000793,               0.000793,               0.000793
                    189,                0.62179,                0.29437,                0.22779,                0.97592,                0.97604,                 0.9875,                0.77618,                0.84545,                0.33278,                0.23991,              0.0007435,              0.0007435,              0.0007435
                    190,                0.61666,                0.28921,                0.22684,                0.97695,                0.97639,                0.98758,                0.77516,                0.84663,                0.33269,                0.23998,               0.000694,               0.000694,               0.000694
                    191,                0.62807,                0.27552,                0.21441,                0.98024,                0.97173,                0.98775,                0.77323,                0.84781,                0.33311,                0.24061,              0.0006445,              0.0006445,              0.0006445
                    192,                 0.6082,                0.26706,                0.21386,                0.98565,                0.97173,                0.98668,                0.77426,                0.84783,                0.33353,                0.24073,               0.000595,               0.000595,               0.000595
                    193,                0.61359,                0.27117,                0.21514,                0.98513,                0.97145,                0.98742,                0.77309,                 0.8473,                 0.3349,                0.24137,              0.0005455,              0.0005455,              0.0005455
                    194,                0.60071,                0.26765,                0.21505,                0.98479,                0.97068,                0.98745,                0.77445,                 0.8483,                0.33549,                0.24139,               0.000496,               0.000496,               0.000496
                    195,                0.59687,                0.26268,                0.21478,                0.98456,                0.97068,                0.98747,                0.77382,                0.84775,                0.33651,                0.24143,              0.0004465,              0.0004465,              0.0004465
                    196,                0.59369,                0.26236,                0.21475,                0.98409,                0.97068,                0.98693,                0.77354,                 0.8479,                0.33648,                0.24138,               0.000397,               0.000397,               0.000397
                    197,                0.59763,                 0.2631,                0.21351,                0.98512,                0.97074,                0.98697,                0.77352,                0.84754,                0.33592,                0.24133,              0.0003475,              0.0003475,              0.0003475
                    198,                0.59127,                0.26381,                0.21204,                0.98511,                0.97009,                0.98637,                0.77484,                 0.8468,                 0.3353,                 0.2413,               0.000298,               0.000298,               0.000298
                    199,                0.59147,                0.26313,                0.21335,                0.98512,                0.97049,                0.98629,                0.77529,                0.84731,                0.33527,                 0.2414,              0.0002485,              0.0002485,              0.0002485
                    200,                0.59384,                 0.2616,                0.21128,                0.98618,                0.97159,                 0.9869,                 0.7755,                0.84775,                 0.3357,                0.24162,               0.000199,               0.000199,               0.000199
