                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.87888,                0.44891,                0.26118,                0.97362,                0.96611,                0.98234,                 0.7411,                0.94535,                0.42725,                0.25633,              0.0082675,              0.0082675,              0.0082675
                     38,                0.87255,                0.44028,                 0.2593,                0.97345,                0.95978,                 0.9824,                0.73687,                0.96196,                0.43181,                0.25909,               0.008218,               0.008218,               0.008218
                     39,                0.87794,                0.44744,                0.26088,                0.97634,                0.94764,                0.98431,                0.73787,                0.94644,                0.42123,                0.25635,              0.0081685,              0.0081685,              0.0081685
                     40,                0.86908,                0.44005,                0.26093,                0.97867,                0.96109,                0.98496,                 0.7382,                0.94478,                0.41078,                0.25844,               0.008119,               0.008119,               0.008119
                     41,                 0.8742,                0.43954,                0.26047,                0.97365,                0.96739,                0.98548,                0.74122,                0.94659,                0.42356,                0.25568,              0.0080695,              0.0080695,              0.0080695
                     42,                0.86744,                0.43956,                0.25625,                0.96568,                0.95916,                0.98317,                0.73655,                0.95245,                0.42846,                0.25418,                0.00802,                0.00802,                0.00802
                     43,                0.85999,                 0.4334,                0.25874,                0.97731,                 0.9623,                0.98651,                0.73527,                0.95726,                 0.4172,                0.25753,              0.0079705,              0.0079705,              0.0079705
                     44,                0.85263,                0.42991,                0.25446,                0.98226,                 0.9644,                0.98552,                0.74821,                0.92376,                0.40701,                0.25259,               0.007921,               0.007921,               0.007921
                     45,                0.86117,                0.43869,                0.25688,                0.97349,                0.95812,                0.98217,                0.74069,                0.92295,                0.41894,                0.25392,              0.0078715,              0.0078715,              0.0078715
                     46,                0.84505,                0.42926,                0.25577,                0.97889,                0.96126,                0.98576,                0.74424,                0.93688,                 0.4215,                0.25374,               0.007822,               0.007822,               0.007822
                     47,                0.84316,                0.42808,                0.25847,                0.97453,                0.96151,                0.98227,                0.73933,                0.94746,                0.41988,                0.25423,              0.0077725,              0.0077725,              0.0077725
                     48,                0.84934,                0.43251,                0.25513,                0.97671,                0.95393,                0.97944,                0.74595,                0.93054,                0.41554,                0.25438,               0.007723,               0.007723,               0.007723
                     49,                0.84018,                0.42538,                0.25555,                0.97139,                0.95978,                0.98367,                0.74057,                0.94766,                0.41261,                0.25621,              0.0076735,              0.0076735,              0.0076735
                     50,                0.83815,                0.41888,                 0.2557,                 0.9662,                0.96859,                0.98353,                0.74531,                0.93113,                0.40439,                0.25445,               0.007624,               0.007624,               0.007624
                     51,                0.85517,                 0.4329,                0.25965,                0.97247,                0.96545,                0.98106,                0.74792,                0.91877,                 0.4116,                0.25321,              0.0075745,              0.0075745,              0.0075745
                     52,                0.83139,                0.42047,                  0.255,                0.97631,                0.96649,                 0.9863,                0.75002,                0.92122,                0.39963,                0.25298,               0.007525,               0.007525,               0.007525
                     53,                0.84513,                0.42347,                0.25565,                0.96239,                 0.9645,                0.98357,                0.74853,                 0.9138,                0.40815,                0.25157,              0.0074755,              0.0074755,              0.0074755
                     54,                0.84682,                0.42793,                0.25562,                0.98463,                0.95079,                0.98571,                0.74569,                0.91788,                0.40923,                0.25371,               0.007426,               0.007426,               0.007426
                     55,                0.83445,                0.41849,                0.25406,                0.97378,                 0.9724,                0.98635,                0.75204,                0.90577,                0.39683,                0.24967,              0.0073765,              0.0073765,              0.0073765
                     56,                0.83542,                0.41665,                0.25676,                0.98127,                0.95288,                0.98258,                0.74972,                0.92695,                0.40817,                0.25246,               0.007327,               0.007327,               0.007327
                     57,                 0.8371,                0.41629,                0.25606,                0.97468,                0.96725,                0.98198,                0.75291,                0.90858,                0.40354,                0.24924,              0.0072775,              0.0072775,              0.0072775
                     58,                0.82822,                0.42092,                0.25163,                0.97453,                0.97277,                0.98447,                0.74983,                0.91784,                0.40024,                0.25049,               0.007228,               0.007228,               0.007228
                     59,                 0.8222,                0.41081,                0.25177,                0.97016,                0.96754,                0.98212,                0.75076,                0.91805,                0.39381,                0.25301,              0.0071785,              0.0071785,              0.0071785
                     60,                0.83233,                 0.4181,                0.25338,                0.97762,                0.96545,                0.98675,                0.74944,                0.92055,                0.40459,                0.25135,               0.007129,               0.007129,               0.007129
                     61,                0.83023,                0.41432,                0.25359,                  0.974,                0.96335,                0.98207,                0.75304,                0.90875,                0.41236,                0.24873,              0.0070795,              0.0070795,              0.0070795
                     62,                0.83611,                0.41888,                0.25259,                0.97612,                 0.9623,                0.98211,                0.75147,                0.91095,                0.40547,                0.24835,                0.00703,                0.00703,                0.00703
                     63,                0.83569,                  0.412,                0.25183,                0.96848,                0.96963,                0.98647,                0.74961,                0.91075,                0.39705,                0.25147,              0.0069805,              0.0069805,              0.0069805
                     64,                0.81759,                0.41268,                 0.2514,                0.97883,                0.96845,                0.98556,                 0.7588,                0.89468,                0.39486,                0.24719,               0.006931,               0.006931,               0.006931
                     65,                0.81671,                0.41342,                0.25421,                0.97233,                0.95653,                0.98212,                0.75428,                0.90433,                0.39699,                0.24875,              0.0068815,              0.0068815,              0.0068815
                     66,                0.82326,                0.41114,                0.25128,                0.98706,                0.95861,                  0.984,                0.75034,                0.91005,                0.39572,                0.25182,               0.006832,               0.006832,               0.006832
                     67,                0.81348,                0.40254,                0.25289,                0.97802,                0.97277,                0.98656,                0.75119,                0.92071,                0.40108,                0.25023,              0.0067825,              0.0067825,              0.0067825
                     68,                0.82229,                0.40849,                0.25238,                0.97913,                0.96859,                0.98601,                0.75603,                0.90008,                0.39028,                 0.2491,               0.006733,               0.006733,               0.006733
                     69,                0.80495,                0.39585,                 0.2496,                0.97575,                  0.969,                0.98691,                0.75343,                0.90651,                0.38798,                0.24952,              0.0066835,              0.0066835,              0.0066835
                     70,                0.81874,                0.41069,                0.25082,                0.96552,                0.96755,                 0.9836,                0.75293,                0.90432,                0.39318,                0.24932,               0.006634,               0.006634,               0.006634
                     71,                0.79942,                0.39667,                0.24748,                 0.9748,                0.97203,                 0.9855,                0.75427,                0.90593,                0.38442,                0.24933,              0.0065845,              0.0065845,              0.0065845
                     72,                0.80109,                0.39818,                0.24918,                 0.9736,                0.96554,                 0.9848,                0.75071,                0.90828,                0.38685,                0.24832,               0.006535,               0.006535,               0.006535
                     73,                0.79602,                0.39793,                0.25155,                 0.9767,                 0.9657,                0.98702,                0.74902,                0.91801,                0.38813,                0.25145,              0.0064855,              0.0064855,              0.0064855
                     74,                0.79444,                0.39275,                  0.249,                0.98206,                0.97432,                  0.989,                0.75868,                0.89806,                0.38594,                0.24781,               0.006436,               0.006436,               0.006436
                     75,                0.78867,                 0.3878,                0.24797,                0.97705,                0.97173,                0.98624,                0.75534,                0.89345,                0.38374,                0.24726,              0.0063865,              0.0063865,              0.0063865
                     76,                0.79365,                0.39835,                0.24926,                0.97073,                0.96545,                0.98409,                0.75406,                0.90615,                0.38645,                0.25012,               0.006337,               0.006337,               0.006337
