epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2669.22,1.13224,0.66552,1.18219,0.95128,0.92002,0.95919,0.63815,1.11279,0.56743,1.11201,0.007921,0.007921,0.007921
44,2731.55,1.12442,0.67013,1.18721,0.94867,0.91832,0.95368,0.63302,1.11441,0.57406,1.10676,0.0078715,0.0078715,0.0078715
45,2793.46,1.1196,0.65353,1.18345,0.95993,0.92461,0.96487,0.63657,1.10691,0.55449,1.10003,0.007822,0.007822,0.007822
46,2855.78,1.12099,0.65581,1.17217,0.96468,0.91507,0.96279,0.65028,1.10101,0.55421,1.10733,0.0077725,0.0077725,0.0077725
47,2917.98,1.11309,0.65479,1.17583,0.959,0.9089,0.95196,0.63136,1.14641,0.56434,1.10578,0.007723,0.007723,0.007723
48,2980.21,1.12889,0.65522,1.15976,0.96493,0.92775,0.96097,0.64544,1.10971,0.53846,1.10726,0.0076735,0.0076735,0.0076735
49,3042.09,1.10118,0.64234,1.16663,0.95443,0.92147,0.95747,0.65326,1.08348,0.54415,1.09318,0.007624,0.007624,0.007624
50,3103.88,1.09536,0.62503,1.15342,0.95305,0.92565,0.9574,0.6497,1.07552,0.55792,1.07894,0.0075745,0.0075745,0.0075745
51,3165.84,1.0888,0.62995,1.15548,0.95862,0.92176,0.96345,0.65389,1.07613,0.5479,1.08026,0.007525,0.007525,0.007525
52,3227.95,1.10515,0.63423,1.15838,0.95334,0.94145,0.96192,0.64395,1.07166,0.5376,1.08036,0.0074755,0.0074755,0.0074755
53,3290.33,1.08619,0.63303,1.15362,0.9545,0.92252,0.95883,0.65106,1.08596,0.53631,1.08957,0.007426,0.007426,0.007426
54,3352.73,1.08336,0.62723,1.15997,0.95915,0.93437,0.96815,0.6569,1.06447,0.52495,1.07567,0.0073765,0.0073765,0.0073765
55,3414.64,1.07845,0.61466,1.14936,0.95131,0.93508,0.96416,0.64502,1.10426,0.54117,1.08362,0.007327,0.007327,0.007327
56,3476.37,1.07915,0.62162,1.14974,0.96697,0.92461,0.96395,0.65434,1.06074,0.52654,1.07098,0.0072775,0.0072775,0.0072775
57,3538.35,1.07517,0.62307,1.14068,0.9574,0.9413,0.97209,0.66352,1.05175,0.52834,1.06975,0.007228,0.007228,0.007228
58,3600.21,1.07766,0.61755,1.14823,0.96506,0.94241,0.97563,0.66411,1.05543,0.52498,1.0679,0.0071785,0.0071785,0.0071785
59,3662.1,1.06944,0.61829,1.1463,0.96501,0.92413,0.97062,0.65629,1.06522,0.5248,1.07366,0.007129,0.007129,0.007129
60,3723.86,1.05368,0.59819,1.13733,0.96235,0.93667,0.97116,0.66972,1.0422,0.50347,1.06136,0.0070795,0.0070795,0.0070795
61,3785.48,1.05266,0.6065,1.13968,0.96349,0.93403,0.9738,0.66728,1.03416,0.50749,1.05853,0.00703,0.00703,0.00703
62,3847.21,1.05305,0.592,1.12422,0.97306,0.93298,0.97341,0.66509,1.05043,0.51214,1.071,0.0069805,0.0069805,0.0069805
63,3908.91,1.04182,0.5864,1.1328,0.9637,0.93403,0.97466,0.67418,1.03448,0.49255,1.05155,0.006931,0.006931,0.006931
64,3970.48,1.03713,0.58654,1.13525,0.96334,0.93565,0.96945,0.66353,1.0378,0.51336,1.05538,0.0068815,0.0068815,0.0068815
65,4032.24,1.04187,0.58879,1.11895,0.97266,0.93128,0.96254,0.6653,1.05408,0.5119,1.06499,0.006832,0.006832,0.006832
66,4093.9,1.04788,0.59717,1.13098,0.9766,0.92984,0.96771,0.67086,1.02887,0.4911,1.05953,0.0067825,0.0067825,0.0067825
67,4155.83,1.04172,0.58973,1.12966,0.97228,0.93613,0.97014,0.67323,1.03172,0.49697,1.06205,0.006733,0.006733,0.006733
68,4217.28,1.02774,0.58844,1.11915,0.96027,0.94031,0.96856,0.6667,1.04747,0.4956,1.05854,0.0066835,0.0066835,0.0066835
69,4279.33,1.0216,0.57017,1.11786,0.97208,0.93508,0.9764,0.67702,1.03297,0.48148,1.05061,0.006634,0.006634,0.006634
70,4341.44,1.03411,0.57531,1.12222,0.96912,0.93403,0.96835,0.67156,1.02679,0.48966,1.05272,0.0065845,0.0065845,0.0065845
71,4403.97,1.04152,0.5821,1.11321,0.96763,0.93918,0.97366,0.68038,1.02331,0.48036,1.05413,0.006535,0.006535,0.006535
72,4465.91,1.03271,0.57616,1.1139,0.96446,0.93774,0.96962,0.66743,1.03375,0.4987,1.05484,0.0064855,0.0064855,0.0064855
73,4528,1.00586,0.56213,1.1089,0.9739,0.93779,0.97537,0.68071,1.01097,0.47552,1.04446,0.006436,0.006436,0.006436
74,4590.22,1.01748,0.56472,1.1095,0.97394,0.93904,0.97283,0.68002,1.00638,0.48268,1.03184,0.0063865,0.0063865,0.0063865
75,4652.52,1.01468,0.56351,1.10499,0.95891,0.9445,0.97114,0.68015,1.0174,0.48095,1.04082,0.006337,0.006337,0.006337
76,4714.83,1.00277,0.56015,1.09907,0.97005,0.94974,0.97504,0.67865,1.01051,0.48116,1.03269,0.0062875,0.0062875,0.0062875
77,4780.03,1.01798,0.58019,1.12714,0.95963,0.94593,0.97721,0.68393,0.99572,0.47324,1.03721,0.006238,0.006238,0.006238
78,4842.53,1.01697,0.56173,1.09845,0.96541,0.93515,0.97277,0.68136,0.99624,0.46721,1.03278,0.0061885,0.0061885,0.0061885
79,4904.71,1.00571,0.55234,1.09429,0.97406,0.94136,0.97132,0.68317,0.99579,0.4692,1.03441,0.006139,0.006139,0.006139
80,4967.05,1.00555,0.55791,1.10974,0.97959,0.9288,0.97493,0.68433,1.01156,0.47244,1.04173,0.0060895,0.0060895,0.0060895
81,5029.26,1.0029,0.5532,1.10198,0.96395,0.95185,0.97488,0.6876,1.00557,0.46845,1.04919,0.00604,0.00604,0.00604
82,5091.22,0.99145,0.54409,1.09317,0.97383,0.93514,0.97416,0.68241,1.00618,0.46244,1.0451,0.0059905,0.0059905,0.0059905
83,5153.14,0.9813,0.53857,1.09169,0.97713,0.93965,0.97507,0.68786,1.00641,0.46321,1.03404,0.005941,0.005941,0.005941
84,5214.95,0.99837,0.54857,1.09876,0.97077,0.94764,0.97378,0.68503,0.98825,0.46292,1.02914,0.0058915,0.0058915,0.0058915
85,5277.25,0.98367,0.53827,1.09385,0.96548,0.94241,0.97813,0.68899,0.9921,0.47303,1.03303,0.005842,0.005842,0.005842
86,5339.18,0.99019,0.55104,1.09108,0.96867,0.94346,0.97484,0.686,1.00042,0.46196,1.03179,0.0057925,0.0057925,0.0057925
87,5401.16,0.98425,0.54106,1.08945,0.97534,0.95241,0.97972,0.69399,0.99396,0.46063,1.03416,0.005743,0.005743,0.005743
88,5463.06,0.96265,0.52842,1.08673,0.97411,0.94545,0.9795,0.69125,0.99752,0.45959,1.03831,0.0056935,0.0056935,0.0056935
89,5524.84,0.9849,0.5375,1.07538,0.97315,0.94873,0.97933,0.68869,0.99503,0.45804,1.02988,0.005644,0.005644,0.005644
90,5586.6,0.97471,0.53361,1.07627,0.97253,0.95602,0.98219,0.68626,0.9824,0.45291,1.0362,0.0055945,0.0055945,0.0055945
91,5648.23,0.9612,0.52483,1.07669,0.96526,0.96022,0.98315,0.69276,0.97245,0.44309,1.03172,0.005545,0.005545,0.005545
92,5710.24,0.98075,0.53119,1.08508,0.97036,0.95971,0.98182,0.69445,0.99733,0.44686,1.03988,0.0054955,0.0054955,0.0054955
93,5772.53,0.97945,0.53895,1.09127,0.971,0.94668,0.98237,0.6924,0.99237,0.45789,1.02965,0.005446,0.005446,0.005446
94,5834.69,0.95548,0.51927,1.07124,0.96193,0.95252,0.97443,0.69478,0.99458,0.45724,1.03564,0.0053965,0.0053965,0.0053965
95,5896.6,0.95706,0.51531,1.06762,0.9799,0.94136,0.97553,0.69416,0.97766,0.45954,1.02769,0.005347,0.005347,0.005347
96,5958.38,0.95624,0.5162,1.07022,0.97165,0.94974,0.98075,0.70042,0.96871,0.44663,1.01757,0.0052975,0.0052975,0.0052975
97,6020.36,0.9369,0.50732,1.06642,0.97117,0.95079,0.97443,0.6968,0.98514,0.44657,1.03237,0.005248,0.005248,0.005248
98,6082.82,0.95171,0.49392,1.06546,0.96419,0.95848,0.98172,0.70103,0.98443,0.44432,1.02739,0.0051985,0.0051985,0.0051985
99,6145.36,0.94515,0.50891,1.07459,0.96912,0.95079,0.97995,0.69966,0.97777,0.44965,1.02883,0.005149,0.005149,0.005149
100,6207.89,0.94441,0.50612,1.06966,0.97125,0.95524,0.98287,0.7013,0.96564,0.44524,1.01374,0.0050995,0.0050995,0.0050995
101,6269.87,0.96528,0.52052,1.07561,0.96855,0.95602,0.97574,0.69778,0.96788,0.44369,1.01935,0.00505,0.00505,0.00505
102,6331.96,0.93391,0.49966,1.05984,0.96353,0.96859,0.98098,0.6995,0.98107,0.43601,1.02367,0.0050005,0.0050005,0.0050005
103,6394.14,0.93232,0.50308,1.05939,0.97596,0.95079,0.98062,0.69797,0.98252,0.4459,1.02001,0.004951,0.004951,0.004951
104,6456.6,0.93618,0.50059,1.06311,0.97063,0.95602,0.98303,0.70227,0.98118,0.44297,1.02254,0.0049015,0.0049015,0.0049015
105,6519.15,0.94054,0.502,1.06613,0.97027,0.95691,0.97989,0.69771,0.98898,0.44295,1.02647,0.004852,0.004852,0.004852
106,6581.3,0.92924,0.49604,1.05244,0.9775,0.95513,0.97963,0.70531,0.95983,0.43628,1.013,0.0048025,0.0048025,0.0048025
107,6643.27,0.94441,0.50989,1.05898,0.97849,0.95262,0.98252,0.70031,0.97457,0.43668,1.0221,0.004753,0.004753,0.004753
108,6705.84,0.9401,0.506,1.05791,0.98376,0.95117,0.97777,0.6969,0.98108,0.43621,1.03057,0.0047035,0.0047035,0.0047035
109,6768.09,0.9404,0.49604,1.05834,0.97268,0.95707,0.98192,0.70158,0.98015,0.4421,1.03229,0.004654,0.004654,0.004654
110,6830.01,0.91684,0.49171,1.05077,0.97428,0.95183,0.97872,0.69433,0.98463,0.44214,1.0298,0.0046045,0.0046045,0.0046045
111,6892.51,0.93271,0.49678,1.05095,0.9753,0.95096,0.9791,0.7038,0.96142,0.43069,1.01983,0.004555,0.004555,0.004555
112,6954.73,0.92459,0.49572,1.05571,0.9599,0.96859,0.98202,0.70204,0.97007,0.42964,1.01922,0.0045055,0.0045055,0.0045055
