epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
183,11358.7,0.78429,0.40076,0.97844,0.9793,0.9644,0.98296,0.72766,0.90466,0.38699,0.99423,0.000991,0.000991,0.000991
184,11419.5,0.77487,0.38653,0.97036,0.97772,0.96487,0.98387,0.73007,0.90258,0.38581,0.99345,0.0009415,0.0009415,0.0009415
185,11482,0.77106,0.38821,0.96767,0.98122,0.9644,0.98385,0.72982,0.90135,0.38752,0.99264,0.000892,0.000892,0.000892
186,11544.3,0.77007,0.39039,0.97244,0.98065,0.96649,0.98332,0.72944,0.90024,0.38788,0.99152,0.0008425,0.0008425,0.0008425
187,11606.8,0.77501,0.38862,0.97384,0.97632,0.96335,0.9823,0.72709,0.90133,0.38821,0.9918,0.000793,0.000793,0.000793
188,11668.6,0.77411,0.39019,0.97152,0.97399,0.96649,0.9828,0.72763,0.90323,0.38892,0.99457,0.0007435,0.0007435,0.0007435
189,11730.9,0.75951,0.38502,0.96674,0.97463,0.96535,0.98265,0.72682,0.90592,0.39039,0.9968,0.000694,0.000694,0.000694
190,11793,0.78031,0.39162,0.97743,0.97255,0.96471,0.98258,0.72531,0.90642,0.39097,0.99787,0.0006445,0.0006445,0.0006445
191,11852.4,0.73594,0.34634,0.91328,0.97465,0.96622,0.9822,0.72488,0.9099,0.39286,0.99891,0.000595,0.000595,0.000595
192,11911.7,0.73165,0.33745,0.9086,0.97471,0.96858,0.98205,0.72755,0.90919,0.39486,0.9985,0.0005455,0.0005455,0.0005455
193,11971.1,0.72689,0.33616,0.91097,0.97364,0.96677,0.98145,0.72877,0.9121,0.39564,0.99922,0.000496,0.000496,0.000496
194,12030.5,0.71915,0.3338,0.90993,0.97462,0.96497,0.98257,0.729,0.91343,0.39558,0.99912,0.0004465,0.0004465,0.0004465
195,12089.6,0.7159,0.3312,0.90843,0.97565,0.96505,0.98308,0.73054,0.9132,0.39602,1.00024,0.000397,0.000397,0.000397
196,12149.1,0.72472,0.33268,0.9044,0.97625,0.96754,0.98295,0.73019,0.91387,0.39766,1.00196,0.0003475,0.0003475,0.0003475
197,12208.3,0.72249,0.33354,0.90135,0.97659,0.96545,0.98337,0.72933,0.91569,0.39719,1.00342,0.000298,0.000298,0.000298
198,12267.7,0.71256,0.32811,0.89897,0.97268,0.96947,0.98416,0.73032,0.91504,0.39579,1.00503,0.0002485,0.0002485,0.0002485
199,12326.9,0.71572,0.32851,0.89901,0.97336,0.96754,0.98436,0.73154,0.91358,0.3945,1.00448,0.000199,0.000199,0.000199
200,12385.9,0.70524,0.32209,0.89997,0.9808,0.96303,0.98468,0.7301,0.91394,0.39331,1.00445,0.0001495,0.0001495,0.0001495
