               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  39,              1.5879,              1.0137,              1.5595,             0.96544,             0.89843,             0.94966,             0.63231,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  40,              1.5862,              1.0183,              1.5502,             0.95412,             0.89843,             0.94737,             0.62554,                   0,                   0,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,               1.568,              1.0005,              1.5467,             0.94773,             0.91135,             0.95009,             0.62522,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  42,              1.5708,             0.99725,              1.5418,             0.94968,             0.91414,             0.95094,             0.62966,                   0,                   0,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,              1.5314,             0.97687,              1.5073,             0.94587,             0.90995,             0.95256,             0.63516,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                  44,              1.5861,             0.99529,              1.5421,             0.95212,             0.90785,             0.95143,             0.64469,                   0,                   0,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,               1.543,             0.97528,               1.514,             0.96195,             0.92565,             0.96097,             0.63243,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  46,              1.5411,             0.98795,              1.5236,             0.95758,             0.91832,             0.95471,             0.64045,                   0,                   0,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,              1.5514,             0.97767,              1.5307,             0.96996,             0.91295,              0.9607,             0.64394,                   0,                   0,                   0,            0.007723,            0.007723,            0.007723
                  48,              1.5261,             0.96709,              1.4987,             0.95484,             0.90775,              0.9601,             0.64628,                   0,                   0,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,              1.5526,             0.97459,               1.518,             0.94862,             0.91728,             0.95923,             0.64155,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  50,               1.532,             0.97848,               1.527,             0.95655,             0.89903,             0.95968,             0.64458,                   0,                   0,                   0,           0.0075745,           0.0075745,           0.0075745
                  51,              1.5112,             0.95531,              1.5172,             0.95224,              0.9187,              0.9567,             0.64477,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                  52,              1.5072,             0.92513,              1.4967,             0.95028,             0.91832,             0.95674,             0.63944,                   0,                   0,                   0,           0.0074755,           0.0074755,           0.0074755
                  53,              1.5103,             0.96083,              1.4954,             0.93072,             0.92845,             0.95316,             0.64329,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                  54,              1.4937,             0.92872,              1.4845,             0.95454,             0.90136,             0.95666,             0.63611,                   0,                   0,                   0,           0.0073765,           0.0073765,           0.0073765
                  55,              1.4734,             0.89916,              1.4935,              0.9541,             0.92147,             0.96887,             0.65686,                   0,                   0,                   0,            0.007327,            0.007327,            0.007327
                  56,              1.4945,             0.92545,              1.5039,             0.96341,             0.92356,             0.95756,             0.64915,                   0,                   0,                   0,           0.0072775,           0.0072775,           0.0072775
                  57,              1.4646,             0.89295,              1.4789,             0.95332,             0.92356,             0.96072,             0.65593,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                  58,              1.4734,             0.91239,              1.4894,             0.95148,             0.92356,             0.96126,             0.66289,                   0,                   0,                   0,           0.0071785,           0.0071785,           0.0071785
                  59,              1.4896,             0.90466,              1.4754,              0.9573,             0.91562,             0.96148,             0.65837,                   0,                   0,                   0,            0.007129,            0.007129,            0.007129
                  60,              1.4676,             0.90581,              1.4917,             0.96194,             0.90995,             0.96556,             0.66068,                   0,                   0,                   0,           0.0070795,           0.0070795,           0.0070795
                  61,              1.4743,              0.9048,              1.4867,              0.9564,             0.93194,             0.96777,              0.6625,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  62,              1.4704,             0.89729,              1.4718,             0.96939,             0.92863,             0.97111,             0.66458,                   0,                   0,                   0,           0.0069805,           0.0069805,           0.0069805
                  63,              1.4385,             0.86665,              1.4549,             0.95685,             0.93403,             0.96821,             0.66552,                   0,                   0,                   0,            0.006931,            0.006931,            0.006931
                  64,              1.4654,             0.87966,              1.4523,             0.95592,             0.92356,             0.97164,             0.66162,                   0,                   0,                   0,           0.0068815,           0.0068815,           0.0068815
                  65,              1.4463,             0.87868,              1.4469,             0.96802,             0.91919,             0.96728,             0.65683,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                  66,              1.4293,              0.8657,              1.4567,             0.97757,             0.92042,             0.96619,             0.66081,                   0,                   0,                   0,           0.0067825,           0.0067825,           0.0067825
                  67,               1.445,             0.87005,              1.4656,             0.95454,             0.92345,             0.96726,             0.66387,                   0,                   0,                   0,            0.006733,            0.006733,            0.006733
                  68,               1.433,             0.85549,              1.4297,             0.96972,             0.93298,             0.96663,             0.66543,                   0,                   0,                   0,           0.0066835,           0.0066835,           0.0066835
