                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    106,                0.90575,                0.47848,                 1.0445,                 1.1577,                0.47066,                 1.0229,                0.96179,                0.94883,                0.97534,                0.67997,                0.95926,                0.41934,                 1.0118,                 1.1089,                 0.3807,                  1.009,               0.004852,               0.004852,               0.004852
                    107,                 0.9188,                0.48401,                 1.0485,                  1.168,                0.47487,                 1.0268,                 0.9566,                0.94627,                0.97172,                0.67395,                0.96057,                0.41995,                  1.023,                  1.103,                0.39014,                 1.0163,              0.0048025,              0.0048025,              0.0048025
                    108,                0.90989,                0.47955,                 1.0503,                 1.1563,                0.47225,                 1.0297,                0.95898,                0.95468,                0.97464,                0.67869,                0.94591,                0.41171,                 1.0187,                 1.0861,                0.37984,                   1.01,               0.004753,               0.004753,               0.004753
                    109,                0.91581,                0.48654,                 1.0494,                  1.167,                0.47608,                 1.0327,                0.96275,                0.94721,                0.97372,                0.68315,                0.94775,                0.41682,                 1.0107,                 1.0904,                0.36715,                 1.0105,              0.0047035,              0.0047035,              0.0047035
                    110,                0.89846,                0.47281,                 1.0493,                 1.1409,                0.46115,                 1.0285,                0.96502,                0.95393,                0.97536,                0.68582,                0.95486,                0.42155,                  1.011,                 1.0947,                0.37601,                 1.0088,               0.004654,               0.004654,               0.004654
                    111,                0.89996,                0.47177,                 1.0389,                 1.1586,                0.46551,                 1.0189,                0.96244,                0.93903,                0.97416,                0.68216,                0.95502,                 0.4198,                 1.0203,                 1.0899,                0.38042,                 1.0129,              0.0046045,              0.0046045,              0.0046045
                    112,                0.88065,                0.45948,                 1.0289,                 1.1289,                0.44968,                 1.0091,                0.95502,                0.94764,                0.97846,                0.68293,                 0.9521,                0.41539,                 1.0195,                 1.0825,                0.37265,                 1.0107,               0.004555,               0.004555,               0.004555
                    113,                0.90026,                0.46822,                 1.0485,                 1.1433,                0.46031,                 1.0271,                0.96964,                0.93625,                0.97376,                0.68276,                0.96126,                0.41511,                  1.022,                 1.0967,                0.37294,                 1.0103,              0.0045055,              0.0045055,              0.0045055
                    114,                0.89042,                0.46107,                 1.0317,                 1.1473,                0.45545,                 1.0138,                0.97418,                0.93403,                0.97369,                0.68227,                0.95114,                0.41525,                 1.0158,                  1.095,                0.37882,                 1.0085,               0.004456,               0.004456,               0.004456
                    115,                0.90152,                0.47026,                 1.0454,                 1.1444,                0.46247,                 1.0245,                0.95707,                 0.9466,                0.97339,                0.68186,                0.94387,                0.41539,                 1.0136,                 1.0821,                0.39052,                 1.0117,              0.0044065,              0.0044065,              0.0044065
                    116,                0.87625,                0.45372,                 1.0394,                 1.1208,                0.44303,                 1.0171,                0.96311,                0.94555,                0.97439,                0.68274,                0.94141,                0.42017,                 1.0122,                   1.08,                0.38752,                 1.0072,               0.004357,               0.004357,               0.004357
                    117,                0.87848,                0.45396,                 1.0327,                 1.1239,                0.44595,                 1.0155,                0.95285,                 0.9522,                0.97455,                0.68388,                0.94465,                0.41332,                 1.0144,                 1.0778,                0.37192,                 1.0046,              0.0043075,              0.0043075,              0.0043075
                    118,                0.87904,                0.45741,                 1.0337,                 1.1251,                0.45663,                 1.0159,                0.94979,                 0.9507,                0.97508,                0.68066,                0.95109,                 0.4208,                  1.018,                 1.0873,                0.39041,                 1.0092,               0.004258,               0.004258,               0.004258
                    119,                0.89371,                 0.4574,                 1.0303,                 1.1434,                0.46054,                 1.0142,                0.96262,                0.95183,                0.97838,                0.68779,                0.94543,                0.41152,                 1.0154,                 1.0848,                 0.3804,                 1.0086,              0.0042085,              0.0042085,              0.0042085
                    120,                0.88671,                0.46471,                 1.0387,                 1.1423,                0.45151,                 1.0144,                0.96785,                0.94576,                0.97734,                0.67999,                0.94824,                0.41414,                  1.012,                 1.0893,                0.38873,                 1.0068,               0.004159,               0.004159,               0.004159
                    121,                0.89191,                 0.4591,                 1.0334,                 1.1412,                0.43944,                 1.0106,                0.96592,                0.94983,                0.97454,                0.68318,                0.93861,                0.41333,                 1.0081,                 1.0897,                0.39527,                  1.003,              0.0041095,              0.0041095,              0.0041095
                    122,                0.86675,                0.45028,                 1.0394,                 1.1087,                0.45032,                 1.0226,                0.95284,                0.95204,                0.97265,                0.68667,                0.93859,                0.40388,                 1.0136,                 1.0788,                0.36761,                 1.0032,                0.00406,                0.00406,                0.00406
                    123,                0.87098,                 0.4455,                 1.0191,                 1.1264,                0.44503,                0.99754,                0.96268,                0.94974,                0.97596,                0.68716,                0.93828,                  0.404,                 1.0093,                 1.0784,                0.36572,                 1.0019,              0.0040105,              0.0040105,              0.0040105
                    124,                0.87199,                0.45555,                 1.0195,                 1.1323,                0.44666,                 1.0022,                0.96071,                0.94869,                0.97282,                 0.6861,                0.93547,                0.40616,                 1.0086,                 1.0716,                0.38486,                 0.9936,               0.003961,               0.003961,               0.003961
                    125,                0.86549,                0.44803,                 1.0237,                 1.1103,                0.44116,                 1.0028,                 0.9651,                0.95559,                 0.9766,                0.68842,                0.94487,                0.40963,                 1.0196,                  1.078,                0.38391,                 1.0035,              0.0039115,              0.0039115,              0.0039115
                    126,                0.86337,                0.44056,                 1.0227,                 1.1076,                 0.4429,                 1.0057,                0.96997,                0.94689,                0.97656,                0.68898,                0.94259,                0.40803,                 1.0193,                 1.0828,                0.37043,                 1.0083,               0.003862,               0.003862,               0.003862
                    127,                0.86604,                0.44675,                 1.0197,                 1.1202,                0.43905,                 0.9989,                0.97936,                0.94388,                0.97966,                0.68787,                0.93712,                0.40414,                 1.0162,                 1.0808,                0.37287,                  1.009,              0.0038125,              0.0038125,              0.0038125
                    128,                0.85803,                0.45502,                 1.0172,                 1.1017,                0.44786,                0.99897,                0.96891,                0.94646,                 0.9725,                0.68541,                  0.929,                0.40795,                 1.0093,                 1.0611,                0.39235,                0.99967,               0.003763,               0.003763,               0.003763
                    129,                0.85005,                0.43543,                 1.0085,                 1.0973,                0.42903,                0.99301,                0.97224,                0.95357,                0.97899,                 0.6925,                0.92907,                 0.4012,                 1.0099,                 1.0642,                0.36647,                0.99906,              0.0037135,              0.0037135,              0.0037135
                    130,                0.84849,                0.44097,                 1.0123,                 1.0943,                0.43139,                0.99405,                0.97412,                0.94591,                0.97924,                0.68881,                0.94307,                0.40785,                 1.0149,                 1.0854,                 0.3633,                 1.0067,               0.003664,               0.003664,               0.003664
                    131,                0.85836,                0.43587,                 1.0096,                 1.1041,                0.41788,                0.99677,                0.95565,                0.94762,                0.97023,                0.68639,                0.93263,                0.40573,                 1.0106,                 1.0716,                0.38803,                 1.0016,              0.0036145,              0.0036145,              0.0036145
                    132,                0.85553,                0.43818,                  1.008,                 1.1056,                 0.4363,                0.99409,                0.95837,                0.94013,                0.97365,                0.68839,                0.93217,                0.39738,                 1.0069,                 1.0653,                0.39191,                 0.9961,               0.003565,               0.003565,               0.003565
                    133,                0.85509,                0.44075,                 1.0117,                 1.1128,                0.43279,                 0.9974,                0.96207,                0.94764,                0.97427,                0.68596,                0.93863,                0.39918,                 1.0107,                 1.0717,                0.38701,                 1.0022,              0.0035155,              0.0035155,              0.0035155
                    134,                0.83439,                0.42539,                 1.0087,                 1.0802,                0.42108,                0.99446,                0.96453,                0.93975,                0.97419,                0.68816,                0.92977,                0.39574,                 1.0036,                 1.0695,                0.38495,                0.99671,               0.003466,               0.003466,               0.003466
                    135,                0.84293,                0.43211,                 1.0122,                 1.0897,                 0.4122,                0.99338,                0.97194,                 0.9429,                0.97621,                0.69035,                0.93391,                0.39973,                 1.0072,                 1.0773,                0.37036,                0.99949,              0.0034165,              0.0034165,              0.0034165
                    136,                0.83582,                0.43434,                 1.0141,                 1.0849,                0.41767,                0.99497,                0.97622,                0.94869,                0.97936,                0.69769,                0.93158,                0.39405,                 1.0095,                  1.063,                0.35475,                0.99628,               0.003367,               0.003367,               0.003367
                    137,                0.83337,                0.42497,                 1.0147,                 1.0862,                0.41072,                0.99563,                0.96675,                0.95288,                0.97867,                0.69381,                  0.937,                0.39696,                 1.0121,                 1.0654,                0.36359,                0.99811,              0.0033175,              0.0033175,              0.0033175
                    138,                0.84376,                 0.4302,                 1.0155,                 1.0909,                0.42315,                0.99819,                0.97229,                0.95916,                0.98117,                0.69541,                 0.9292,                0.39304,                 1.0072,                  1.064,                 0.3526,                0.99548,               0.003268,               0.003268,               0.003268
                    139,                0.84322,                0.43359,                  1.008,                 1.0947,                0.42873,                0.99067,                 0.9651,                0.94346,                0.98063,                0.69631,                0.92666,                0.39354,                 1.0057,                 1.0594,                0.35746,                0.99659,              0.0032185,              0.0032185,              0.0032185
                    140,                0.84103,                0.42994,                 1.0073,                 1.0876,                0.41153,                0.99251,                 0.9731,                0.94716,                0.97987,                 0.6959,                0.91935,                0.38816,                0.99952,                 1.0543,                0.36618,                0.98923,               0.003169,               0.003169,               0.003169
                    141,                0.83334,                0.42382,                 1.0062,                 1.0832,                0.41519,                0.98856,                0.97468,                0.95393,                0.98021,                0.69679,                0.92482,                0.39004,                 1.0091,                 1.0667,                0.35215,                0.99892,              0.0031195,              0.0031195,              0.0031195
                    142,                0.83569,                 0.4236,                  1.012,                 1.0785,                0.41296,                0.99141,                0.96412,                0.95673,                0.97962,                0.69635,                0.92313,                0.38947,                 1.0102,                 1.0595,                0.36152,                0.99548,                0.00307,                0.00307,                0.00307
                    143,                0.84357,                  0.425,                 1.0023,                 1.0904,                0.41134,                0.98428,                 0.9622,                0.95957,                0.97301,                0.69391,                0.91681,                0.38888,                 0.9974,                   1.05,                0.37219,                0.98812,              0.0030205,              0.0030205,              0.0030205
                    144,                 0.8452,                0.42815,                 1.0087,                 1.0888,                 0.4096,                0.98781,                0.96794,                0.95916,                0.97986,                0.69964,                 0.9159,                0.39145,                 1.0018,                 1.0521,                0.36255,                0.98945,               0.002971,               0.002971,               0.002971
                    145,                0.83475,                0.42012,                 1.0077,                 1.0839,                0.40357,                0.98822,                0.97522,                0.94778,                0.97759,                0.69676,                0.91841,                0.39041,                0.99941,                 1.0559,                0.36672,                0.98893,              0.0029215,              0.0029215,              0.0029215
                    146,                0.82711,                0.41384,                 1.0017,                 1.0754,                0.39867,                0.98389,                0.97841,                0.94764,                0.97961,                0.69576,                0.91612,                0.38732,                0.99879,                 1.0552,                 0.3614,                0.99092,               0.002872,               0.002872,               0.002872
                    147,                0.82159,                0.41962,                0.99963,                 1.0673,                0.40827,                0.98401,                0.97156,                0.95079,                 0.9808,                 0.6953,                0.91654,                0.38864,                 1.0026,                 1.0566,                 0.3585,                0.99319,              0.0028225,              0.0028225,              0.0028225
                    148,                0.82207,                0.41652,                 1.0038,                 1.0696,                0.40117,                0.98382,                0.97304,                0.94481,                0.97944,                0.69252,                0.92023,                0.38678,                  1.004,                 1.0604,                0.36615,                 0.9928,               0.002773,               0.002773,               0.002773
                    149,                0.82829,                0.42382,                 1.0011,                 1.0733,                0.40163,                0.98666,                0.97164,                0.94869,                0.97716,                0.69383,                0.92385,                   0.39,                  1.001,                 1.0604,                0.37322,                0.99101,              0.0027235,              0.0027235,              0.0027235
                    150,                0.81853,                0.41116,                0.99249,                 1.0746,                0.39875,                0.97689,                0.97631,                0.94953,                0.98035,                0.69701,                0.92129,                0.39084,                 1.0032,                 1.0558,                0.35912,                0.99336,               0.002674,               0.002674,               0.002674
                    151,                0.81232,                0.41306,                 1.0003,                 1.0607,                0.39607,                0.98214,                  0.966,                 0.9519,                 0.9792,                0.69453,                0.92266,                0.39024,                 1.0072,                 1.0569,                0.36232,                0.99553,              0.0026245,              0.0026245,              0.0026245
                    152,                0.81707,                0.41471,                 0.9907,                 1.0681,                0.41085,                0.97556,                0.96617,                 0.9445,                0.97835,                 0.6912,                  0.923,                0.39232,                 1.0056,                 1.0607,                0.36941,                0.99334,               0.002575,               0.002575,               0.002575
                    153,                0.81343,                0.40403,                 0.9883,                 1.0533,                0.39452,                0.96615,                0.98153,                0.94346,                0.97887,                0.69523,                0.92239,                0.39048,                  1.003,                 1.0573,                0.36662,                0.98881,              0.0025255,              0.0025255,              0.0025255
                    154,                0.79859,                0.40856,                0.99229,                 1.0412,                0.40481,                0.97485,                0.97522,                0.94789,                0.97988,                0.69425,                0.91688,                0.38428,                  1.003,                 1.0553,                0.35417,                0.99064,               0.002476,               0.002476,               0.002476
                    155,                0.80041,                0.40243,                0.99053,                 1.0369,                0.38712,                0.97293,                0.96138,                0.96448,                0.97987,                0.69719,                0.92172,                 0.3861,                 1.0043,                 1.0591,                0.35501,                0.99078,              0.0024265,              0.0024265,              0.0024265
                    156,                0.79502,                0.40218,                0.98656,                  1.046,                 0.3953,                0.96752,                0.95837,                0.96416,                 0.9792,                0.69559,                0.91862,                0.38502,                 1.0058,                 1.0534,                0.36015,                0.99092,               0.002377,               0.002377,               0.002377
                    157,                0.79423,                0.39762,                0.98543,                 1.0443,                 0.3875,                 0.9742,                 0.9831,                0.95707,                0.98155,                0.69736,                0.91328,                0.38148,                 1.0068,                 1.0528,                0.35079,                0.99572,              0.0023275,              0.0023275,              0.0023275
                    158,                0.78718,                0.39954,                0.98681,                 1.0394,                0.38554,                 0.9744,                 0.9769,                0.95288,                0.98096,                0.69374,                0.91603,                 0.3856,                 1.0073,                 1.0539,                0.36161,                0.99426,               0.002278,               0.002278,               0.002278
                    159,                0.79481,                0.39692,                0.98956,                 1.0361,                0.39381,                0.97409,                0.97163,                0.96021,                0.98099,                 0.6966,                0.91025,                0.38256,                 1.0003,                 1.0427,                0.36306,                0.99127,              0.0022285,              0.0022285,              0.0022285
                    160,                0.80376,                0.40244,                0.98185,                 1.0495,                 0.3863,                0.96625,                0.97651,                0.95779,                0.98297,                0.69904,                0.91487,                0.37943,                  1.003,                 1.0459,                0.35658,                0.99171,               0.002179,               0.002179,               0.002179
                    161,                0.79976,                0.40291,                0.98999,                 1.0533,                0.39366,                0.97266,                0.97799,                0.95812,                0.98261,                0.69718,                0.91581,                0.37819,                  1.005,                 1.0476,                0.35478,                0.99414,              0.0021295,              0.0021295,              0.0021295
                    162,                0.79919,                0.40191,                0.98592,                 1.0472,                0.39166,                0.97163,                0.97604,                0.95602,                0.98079,                0.69762,                0.91492,                0.38094,                 1.0041,                 1.0529,                0.35159,                0.99455,                0.00208,                0.00208,                0.00208
                    163,                0.79628,                0.39842,                0.98705,                 1.0432,                0.39559,                0.97209,                0.97105,                0.95497,                0.98114,                0.70054,                0.91243,                0.37787,                 1.0031,                 1.0535,                0.34798,                0.99548,              0.0020305,              0.0020305,              0.0020305
                    164,                0.78496,                0.39452,                0.99077,                 1.0224,                0.39601,                0.97328,                0.97879,                0.95183,                0.98078,                0.70007,                0.91323,                0.38129,                  1.004,                 1.0508,                 0.3503,                0.99272,               0.001981,               0.001981,               0.001981
                    165,                0.79004,                0.39564,                0.97558,                 1.0333,                0.38778,                0.95949,                0.97253,                0.94974,                0.97913,                0.70066,                0.91555,                0.38217,                 1.0074,                 1.0501,                 0.3523,                0.99265,              0.0019315,              0.0019315,              0.0019315
                    166,                0.78629,                0.39579,                0.98021,                 1.0257,                0.39362,                0.96531,                0.97451,                0.96095,                0.98099,                0.70097,                0.91538,                0.37836,                 1.0051,                  1.053,                0.34616,                0.99389,               0.001882,               0.001882,               0.001882
                    167,                0.78377,                0.38543,                0.97257,                 1.0304,                 0.3704,                 0.9571,                0.97495,                 0.9644,                0.98008,                0.70042,                0.91568,                0.37717,                 1.0055,                 1.0518,                0.34071,                0.98994,              0.0018325,              0.0018325,              0.0018325
                    168,                0.77558,                0.39505,                0.97821,                 1.0208,                0.38841,                0.95998,                0.97372,                0.95916,                0.97972,                0.69974,                0.91716,                 0.3785,                 1.0046,                  1.055,                0.34885,                0.99113,               0.001783,               0.001783,               0.001783
                    169,                0.78742,                 0.3938,                 0.9786,                  1.028,                0.37907,                0.95988,                0.96918,                0.96021,                0.97898,                0.69755,                0.92079,                0.37633,                 1.0043,                 1.0608,                 0.3501,                0.99615,              0.0017335,              0.0017335,              0.0017335
                    170,                0.77593,                0.38615,                0.97533,                 1.0247,                0.37868,                0.96298,                0.97329,                0.95407,                0.98058,                0.69796,                0.91854,                0.37625,                  1.001,                 1.0549,                0.35054,                0.99414,               0.001684,               0.001684,               0.001684
                    171,                0.75836,                0.38138,                0.96579,                 1.0006,                0.37603,                0.95338,                0.97128,                0.95605,                0.98046,                0.70023,                0.91533,                0.37537,                 1.0045,                 1.0524,                0.34664,                0.99364,              0.0016345,              0.0016345,              0.0016345
                    172,                0.77379,                0.38686,                0.97731,                 1.0175,                 0.3797,                0.96608,                0.97959,                0.95493,                0.98129,                0.69964,                0.91674,                0.37571,                 1.0086,                 1.0543,                0.34483,                0.99487,               0.001585,               0.001585,               0.001585
                    173,                0.77564,                0.38871,                0.98455,                 1.0189,                0.37746,                0.96619,                0.97754,                0.95497,                0.98166,                 0.7021,                0.91322,                0.37624,                 1.0047,                 1.0508,                0.34665,                0.99259,              0.0015355,              0.0015355,              0.0015355
                    174,                0.76183,                0.38295,                0.96555,                  1.007,                0.37215,                0.95336,                0.97855,                0.95079,                0.98119,                0.69742,                0.91466,                 0.3738,                 1.0055,                 1.0525,                0.34839,                0.99591,               0.001486,               0.001486,               0.001486
                    175,                0.75473,                0.37647,                0.96405,                 1.0067,                0.36688,                0.95251,                0.97829,                0.95812,                0.98128,                0.70115,                 0.9092,                0.37408,                 1.0002,                  1.048,                 0.3441,                0.99404,              0.0014365,              0.0014365,              0.0014365
                    176,                0.76382,                0.37623,                0.96883,                0.99798,                0.36734,                0.95431,                0.98551,                0.95079,                0.98089,                0.70301,                0.90503,                0.37371,                0.99734,                 1.0403,                0.33858,                0.99112,               0.001387,               0.001387,               0.001387
                    177,                0.75809,                0.37676,                0.97281,                 1.0034,                  0.371,                0.95515,                0.97741,                0.95148,                0.98119,                0.70261,                0.90696,                0.37198,                 1.0014,                  1.045,                0.34308,                0.99197,              0.0013375,              0.0013375,              0.0013375
                    178,                0.74903,                0.36919,                0.96767,                0.98581,                0.35812,                0.95173,                0.97572,                0.95183,                0.98028,                0.70218,                  0.907,                0.37314,                 1.0019,                 1.0448,                0.34838,                0.99003,               0.001288,               0.001288,               0.001288
                    179,                0.77216,                0.38062,                0.97364,                   1.02,                0.36705,                0.95802,                0.96817,                0.95535,                0.98057,                0.70204,                0.90707,                0.37412,                 1.0004,                 1.0423,                0.35211,                0.99016,              0.0012385,              0.0012385,              0.0012385
                    180,                0.75691,                 0.3738,                0.96178,                0.99499,                0.36746,                0.95277,                0.97465,                 0.9466,                0.97983,                0.70365,                0.90664,                0.37361,                 1.0009,                 1.0426,                0.35212,                0.98784,               0.001189,               0.001189,               0.001189
                    181,                 0.7568,                 0.3734,                0.96223,                0.99901,                0.36123,                0.94738,                0.97113,                0.95497,                0.98008,                0.70237,                0.90645,                0.37327,                 1.0018,                 1.0434,                0.34735,                0.98882,              0.0011395,              0.0011395,              0.0011395
                    182,                0.75714,                0.37836,                0.96601,                0.99386,                0.36661,                0.95116,                0.97714,                0.95288,                0.97987,                0.70231,                0.90481,                0.37297,                0.99906,                 1.0433,                0.34588,                0.98849,                0.00109,                0.00109,                0.00109
                    183,                 0.7404,                0.36581,                0.96231,                0.97709,                 0.3568,                0.94828,                0.97749,                0.95476,                0.97995,                0.70311,                0.90562,                0.37229,                0.99936,                 1.0419,                0.35278,                0.98723,              0.0010405,              0.0010405,              0.0010405
                    184,                0.73963,                0.36614,                0.95468,                0.98929,                0.36394,                 0.9429,                0.97054,                0.95812,                0.98071,                0.70251,                0.90462,                0.37181,                0.99832,                 1.0427,                0.35311,                0.98725,               0.000991,               0.000991,               0.000991
                    185,                0.74687,                0.36818,                0.95999,                0.99764,                0.36209,                0.94521,                 0.9769,                0.95916,                0.98088,                0.70411,                0.90367,                0.37235,                0.99905,                 1.0414,                0.35134,                0.98653,              0.0009415,              0.0009415,              0.0009415
                    186,                 0.7427,                0.36623,                0.96818,                0.98328,                0.35668,                0.95495,                 0.9704,                0.95497,                0.98012,                0.70247,                0.90349,                0.37313,                 0.9988,                 1.0447,                 0.3502,                0.98553,               0.000892,               0.000892,               0.000892
                    187,                0.75066,                0.36881,                0.96243,                0.98841,                0.36401,                0.94899,                0.96215,                0.95823,                0.98015,                0.70019,                0.90287,                0.37244,                0.99844,                 1.0443,                 0.3482,                0.98529,              0.0008425,              0.0008425,              0.0008425
                    188,                0.74078,                0.36572,                0.96541,                0.97715,                0.35241,                0.94793,                0.96708,                0.95367,                0.97907,                0.70163,                0.90168,                0.37111,                0.99857,                 1.0432,                0.34465,                0.98522,               0.000793,               0.000793,               0.000793
                    189,                0.73165,                0.36265,                0.95859,                0.96753,                0.35699,                0.94781,                0.97203,                0.95602,                0.98028,                0.70101,                0.90064,                0.37068,                0.99721,                 1.0412,                0.34485,                0.98365,              0.0007435,              0.0007435,              0.0007435
                    190,                0.74165,                0.36094,                 0.9619,                0.98164,                0.35281,                0.94676,                0.97409,                0.95288,                0.97885,                0.70261,                0.90095,                0.37143,                0.99673,                 1.0383,                0.35192,                0.98287,               0.000694,               0.000694,               0.000694
                    191,                0.71767,                0.32566,                0.89975,                0.92264,                 0.2828,                0.88848,                0.97639,                0.95272,                0.97976,                0.70195,                 0.9047,                0.37333,                0.99896,                 1.0409,                0.34772,                0.98625,              0.0006445,              0.0006445,              0.0006445
                    192,                0.70863,                0.31959,                0.90141,                0.91824,                0.27201,                0.89136,                0.97857,                0.95647,                0.98056,                0.70209,                0.90589,                0.37324,                0.99949,                 1.0412,                0.34085,                 0.9878,               0.000595,               0.000595,               0.000595
                    193,                 0.7036,                0.31857,                0.89846,                0.91758,                0.27757,                0.88843,                0.97337,                0.95684,                   0.98,                0.70024,                0.90688,                0.37484,                 1.0003,                 1.0437,                0.34336,                0.98861,              0.0005455,              0.0005455,              0.0005455
                    194,                0.69876,                0.31668,                0.89465,                 0.9156,                0.27998,                0.88598,                0.97792,                0.95497,                   0.98,                0.69964,                0.90807,                0.37545,                 1.0011,                 1.0454,                0.34445,                0.98838,               0.000496,               0.000496,               0.000496
                    195,                0.70085,                0.31212,                0.89951,                0.90536,                0.26966,                0.89068,                0.96923,                0.95661,                0.98014,                0.70117,                0.90737,                0.37463,                 1.0009,                 1.0442,                0.34507,                 0.9884,              0.0004465,              0.0004465,              0.0004465
                    196,                0.68972,                0.31148,                0.89537,                0.91078,                 0.2718,                0.89079,                0.96985,                0.95812,                 0.9804,                 0.7024,                0.90808,                 0.3749,                 1.0003,                 1.0448,                0.33835,                0.98852,               0.000397,               0.000397,               0.000397
                    197,                0.69342,                0.31493,                0.88947,                0.90341,                0.27325,                0.87794,                0.98576,                0.94204,                0.98071,                0.70344,                0.90832,                0.37495,                0.99979,                 1.0446,                0.34182,                 0.9878,              0.0003475,              0.0003475,              0.0003475
                    198,                0.68199,                0.31101,                0.89167,                0.89544,                0.26301,                0.88099,                0.98263,                0.94764,                0.98078,                0.70411,                0.90794,                0.37519,                 0.9994,                 1.0445,                0.34087,                0.98825,               0.000298,               0.000298,               0.000298
                    199,                0.69158,                 0.3095,                0.89608,                0.89927,                0.26957,                0.88717,                 0.9682,                0.95658,                0.98079,                0.70466,                0.90783,                0.37602,                 0.9991,                 1.0483,                 0.3366,                0.98908,              0.0002485,              0.0002485,              0.0002485
                    200,                0.68916,                0.30791,                0.89288,                0.90685,                0.26933,                0.88458,                0.97745,                0.94974,                0.98039,                0.70526,                 0.9078,                0.37644,                0.99932,                 1.0484,                0.34235,                0.98957,               0.000199,               0.000199,               0.000199
